userid,category
13153,Phones
42853,Phones
30550,Phones
9797,Phones
8171,Phones
11231,Phones
48009,Phones
29365,Phones
8546,Phones
28044,Phones
31990,Phones
39890,Phones
14691,Phones
36164,Phones
7890,Phones
46801,Phones
5917,Phones
10500,Phones
310,Phones
16270,Phones
42786,Phones
2586,Phones
35228,Phones
24959,Phones
35273,Phones
11759,Phones
42387,Phones
23423,Phones
6611,Phones
36085,Phones
1505,Phones
18031,Phones
32564,Phones
33646,Phones
9214,Phones
33774,Phones
5623,Phones
26486,Phones
40576,Phones
22657,Phones
15151,Phones
29857,Phones
3952,Phones
9032,Phones
7110,Phones
9278,Phones
15801,Phones
43828,Phones
7916,Phones
15564,Phones
11097,Phones
33096,Phones
6866,Phones
39391,Phones
14261,Phones
46753,Phones
41179,Phones
17335,Phones
10293,Phones
13951,Phones
30819,Phones
31028,Phones
33426,Phones
47409,Phones
45001,Phones
24374,Phones
34168,Phones
6134,Phones
20073,Phones
37301,Phones
23755,Phones
5752,Phones
15730,Phones
47914,Phones
42570,Phones
38157,Phones
7472,Phones
921,Phones
13071,Phones
9001,Phones
20091,Phones
47312,Phones
18407,Phones
10402,Phones
26754,Phones
45982,Phones
7532,Phones
18715,Phones
16462,Phones
36733,Phones
2569,Phones
31199,Phones
10066,Phones
44462,Phones
4340,Phones
13492,Phones
9155,Phones
45510,Phones
14370,Phones
34175,Phones
5799,Phones
48199,Phones
36224,Phones
14072,Phones
34311,Phones
3536,Phones
10986,Phones
36925,Phones
22187,Phones
3837,Phones
42565,Phones
20307,Phones
28692,Phones
7139,Phones
31926,Phones
29900,Phones
45289,Phones
15634,Phones
49559,Phones
33321,Phones
38027,Phones
24965,Phones
17064,Phones
10331,Phones
23012,Phones
3183,Phones
41202,Phones
25917,Phones
43771,Phones
49236,Phones
16288,Phones
36501,Phones
20902,Phones
46756,Phones
13627,Phones
6040,Phones
33925,Phones
49253,Phones
37482,Phones
45383,Phones
23195,Phones
36659,Phones
26319,Phones
41924,Phones
31180,Phones
41307,Phones
13896,Phones
12136,Phones
5359,Phones
27526,Phones
43754,Phones
8514,Phones
43928,Phones
31309,Phones
11694,Phones
49973,Phones
7285,Phones
8183,Phones
16448,Phones
40572,Phones
28467,Phones
26586,Phones
41345,Phones
7209,Phones
33146,Phones
20623,Phones
31904,Phones
19790,Phones
18191,Phones
20899,Phones
6942,Phones
9113,Phones
30953,Phones
19276,Phones
19081,Phones
43368,Phones
12159,Phones
10193,Phones
16821,Phones
12178,Phones
16417,Phones
43126,Phones
36589,Phones
45842,Phones
24641,Phones
30954,Phones
21759,Phones
738,Phones
10873,Phones
30427,Phones
49861,Phones
47122,Phones
47969,Phones
32539,Phones
48840,Phones
48245,Phones
31386,Phones
43067,Phones
6221,Phones
46356,Phones
2188,Phones
42286,Phones
16223,Phones
39750,Phones
9198,Phones
19930,Phones
41865,Phones
12498,Phones
47221,Phones
34342,Phones
14486,Phones
30296,Phones
46430,Phones
27461,Phones
22869,Phones
44887,Phones
13507,Phones
28454,Phones
2905,Phones
43820,Phones
25021,Phones
1458,Phones
7116,Phones
13630,Phones
29612,Phones
8667,Phones
30472,Phones
30107,Phones
31445,Phones
25409,Phones
35403,Phones
40807,Phones
38170,Phones
14504,Phones
8167,Phones
1289,Phones
14714,Phones
42425,Phones
31924,Phones
47031,Phones
22277,Phones
7921,Phones
10318,Phones
31856,Phones
48674,Phones
15891,Phones
36146,Phones
48988,Phones
15566,Phones
42428,Phones
8944,Phones
35635,Phones
32557,Phones
13368,Phones
12602,Phones
44889,Phones
9447,Phones
39925,Phones
14534,Phones
40095,Phones
36119,Phones
13346,Phones
46488,Phones
38168,Phones
32683,Phones
45665,Phones
18278,Phones
40531,Phones
15642,Phones
10779,Phones
1057,Phones
37129,Phones
27423,Phones
33862,Phones
8615,Phones
46767,Phones
23751,Phones
16087,Phones
7364,Phones
21705,Phones
8983,Phones
17641,Phones
46414,Phones
32823,Phones
30805,Phones
45947,Phones
45774,Phones
42289,Phones
47903,Phones
15507,Phones
34155,Phones
7327,Phones
22843,Phones
27660,Phones
49929,Phones
45407,Phones
32461,Phones
9578,Phones
9174,Phones
11083,Phones
42957,Phones
39186,Phones
9275,Phones
24048,Phones
32530,Phones
27512,Phones
43516,Phones
39515,Phones
1534,Phones
49826,Phones
23408,Phones
25216,Phones
2911,Phones
2954,Phones
30619,Phones
10623,Phones
16242,Phones
12538,Phones
47070,Phones
4382,Phones
21089,Phones
46010,Phones
24414,Phones
31104,Phones
23027,Phones
30667,Phones
12375,Phones
19066,Phones
4047,Phones
31818,Phones
35594,Phones
9568,Phones
38761,Phones
21516,Phones
3314,Phones
15886,Phones
18216,Phones
27515,Phones
38760,Phones
19366,Phones
21179,Phones
35773,Phones
7765,Phones
16907,Phones
4926,Phones
40659,Phones
43795,Phones
12229,Phones
41426,Phones
38471,Phones
4162,Phones
43102,Phones
21293,Phones
44487,Phones
23213,Phones
40692,Phones
26588,Phones
4105,Phones
28616,Phones
6924,Phones
8221,Phones
6946,Phones
9562,Phones
12218,Phones
25223,Phones
38896,Phones
